,Tweet_ID,Tweet Text,Tweet Entities,Tweet created_at,user_id
0,1521084556027174912,@AusElectoralCom will we ever have voting online ?? Why do we need paper when almost everyone has a computer?? #justsaying - the results will be instant !!,"{'mentions': [{'start': 0, 'end': 16, 'username': 'AusElectoralCom', 'id': '589821720'}], 'hashtags': [{'start': 111, 'end': 122, 'tag': 'justsaying'}]}",2022-05-02 11:09:53+00:00,25758207
1,1521084525572501504,"@max_elbo

#create robot writing a computer program

@RhodHyde","{'mentions': [{'start': 0, 'end': 9, 'username': 'max_elbo', 'id': '1491017231177707523'}, {'start': 53, 'end': 62, 'username': 'RhodHyde', 'id': '419437464'}], 'hashtags': [{'start': 11, 'end': 18, 'tag': 'create'}]}",2022-05-02 11:09:45+00:00,419437464
2,1521084498200469505,Thank you everyone for joining us at  our first Polkadot event in Lira City!! Computer science students and other developers from Lira University got introduced to the future of Web3 on Polkadot @ChrisMalize3 #Polkadot #Web3 https://t.co/bdbKEe1pAP,"{'mentions': [{'start': 195, 'end': 208, 'username': 'ChrisMalize3', 'id': '1244537002609041411'}], 'hashtags': [{'start': 209, 'end': 218, 'tag': 'Polkadot'}, {'start': 219, 'end': 224, 'tag': 'Web3'}], 'urls': [{'start': 225, 'end': 248, 'url': 'https://t.co/bdbKEe1pAP', 'expanded_url': 'https://twitter.com/OKOTJOSHUA43/status/1521084498200469505/photo/1', 'display_url': 'pic.twitter.com/bdbKEe1pAP'}, {'start': 225, 'end': 248, 'url': 'https://t.co/bdbKEe1pAP', 'expanded_url': 'https://twitter.com/OKOTJOSHUA43/status/1521084498200469505/photo/1', 'display_url': 'pic.twitter.com/bdbKEe1pAP'}, {'start': 225, 'end': 248, 'url': 'https://t.co/bdbKEe1pAP', 'expanded_url': 'https://twitter.com/OKOTJOSHUA43/status/1521084498200469505/photo/1', 'display_url': 'pic.twitter.com/bdbKEe1pAP'}, {'start': 225, 'end': 248, 'url': 'https://t.co/bdbKEe1pAP', 'expanded_url': 'https://twitter.com/OKOTJOSHUA43/status/1521084498200469505/photo/1', 'display_url': 'pic.twitter.com/bdbKEe1pAP'}], 'annotations': [{'start': 66, 'end': 74, 'probability': 0.9333, 'type': 'Place', 'normalized_text': 'Lira City'}, {'start': 130, 'end': 144, 'probability': 0.9604, 'type': 'Organization', 'normalized_text': 'Lira University'}]}",2022-05-02 11:09:39+00:00,3403240827
3,1521084419552866304,"Computer Programs and Systems to report earnings on May 03, 2022. Earnings per share (EPS) estimate: $0.67 $CPSI #ComputerProgramsandSystems #stockmarket #stock https://t.co/BBpVZRAbSl https://t.co/YlTN7tvxLc","{'hashtags': [{'start': 113, 'end': 140, 'tag': 'ComputerProgramsandSystems'}, {'start': 141, 'end': 153, 'tag': 'stockmarket'}, {'start': 154, 'end': 160, 'tag': 'stock'}], 'cashtags': [{'start': 107, 'end': 112, 'tag': 'CPSI'}], 'urls': [{'start': 161, 'end': 184, 'url': 'https://t.co/BBpVZRAbSl', 'expanded_url': 'https://srnk.us/go/3628898', 'display_url': 'srnk.us/go/3628898'}, {'start': 185, 'end': 208, 'url': 'https://t.co/YlTN7tvxLc', 'expanded_url': 'https://twitter.com/Tickeron/status/1521084419552866304/photo/1', 'display_url': 'pic.twitter.com/YlTN7tvxLc'}]}",2022-05-02 11:09:20+00:00,374729426
4,1521084395758944257,"Salford City vs Mansfield Town Live

LIVE STREAM HD #WeAreSalford #Stags 🟡🔵

Computer 💻
https://t.co/WqrmYRQViJ
https://t.co/WqrmYRQViJ
Mobile 📱
https://t.co/WqrmYRQViJ
https://t.co/WqrmYRQViJ
**
RT Someone Need To This
Follow @ALLSPOR79461730 For More https://t.co/yExJIyY0bx","{'mentions': [{'start': 227, 'end': 243, 'username': 'ALLSPOR79461730', 'id': '1482977387583537152'}], 'hashtags': [{'start': 52, 'end': 65, 'tag': 'WeAreSalford'}, {'start': 66, 'end': 72, 'tag': 'Stags'}], 'urls': [{'start': 88, 'end': 111, 'url': 'https://t.co/WqrmYRQViJ', 'expanded_url': 'https://tinyurl.com/4jwwf3jk', 'display_url': 'tinyurl.com/4jwwf3jk'}, {'start': 112, 'end': 135, 'url': 'https://t.co/WqrmYRQViJ', 'expanded_url': 'https://tinyurl.com/4jwwf3jk', 'display_url': 'tinyurl.com/4jwwf3jk'}, {'start': 145, 'end': 168, 'url': 'https://t.co/WqrmYRQViJ', 'expanded_url': 'https://tinyurl.com/4jwwf3jk', 'display_url': 'tinyurl.com/4jwwf3jk'}, {'start': 169, 'end': 192, 'url': 'https://t.co/WqrmYRQViJ', 'expanded_url': 'https://tinyurl.com/4jwwf3jk', 'display_url': 'tinyurl.com/4jwwf3jk'}, {'start': 253, 'end': 276, 'url': 'https://t.co/yExJIyY0bx', 'expanded_url': 'https://twitter.com/ALLSOCCERFOOTB1/status/1521084395758944257/photo/1', 'display_url': 'pic.twitter.com/yExJIyY0bx'}]}",2022-05-02 11:09:14+00:00,1503376669582962688
5,1521084336925286400,"Explaining how building a #SmartyKit computer can help your kid to demystify tech and to be proud of herself/himself 
https://t.co/62fYSO3jQr

#buildinpublic #STEMeducation","{'hashtags': [{'start': 26, 'end': 36, 'tag': 'SmartyKit'}, {'start': 143, 'end': 157, 'tag': 'buildinpublic'}, {'start': 158, 'end': 172, 'tag': 'STEMeducation'}], 'urls': [{'start': 118, 'end': 141, 'url': 'https://t.co/62fYSO3jQr', 'expanded_url': 'https://smartykit.io/for-parents', 'display_url': 'smartykit.io/for-parents'}]}",2022-05-02 11:09:00+00:00,114542595
6,1521084320974503939,"Salford City vs Mansfield Town Live

LIVE STREAM HD #WeAreSalford #Stags 🟡🔵

Computer 💻
https://t.co/VEXjtwoAuz
https://t.co/VEXjtwoAuz
Mobile 📱
https://t.co/VEXjtwoAuz
https://t.co/VEXjtwoAuz
**
RT Someone Need To This
Follow @ALLSPOR79461730 For More https://t.co/j3sVli6gqP","{'mentions': [{'start': 227, 'end': 243, 'username': 'ALLSPOR79461730', 'id': '1482977387583537152'}], 'hashtags': [{'start': 52, 'end': 65, 'tag': 'WeAreSalford'}, {'start': 66, 'end': 72, 'tag': 'Stags'}], 'urls': [{'start': 88, 'end': 111, 'url': 'https://t.co/VEXjtwoAuz', 'expanded_url': 'https://tinyurl.com/4jwwf3jk', 'display_url': 'tinyurl.com/4jwwf3jk'}, {'start': 112, 'end': 135, 'url': 'https://t.co/VEXjtwoAuz', 'expanded_url': 'https://tinyurl.com/4jwwf3jk', 'display_url': 'tinyurl.com/4jwwf3jk'}, {'start': 145, 'end': 168, 'url': 'https://t.co/VEXjtwoAuz', 'expanded_url': 'https://tinyurl.com/4jwwf3jk', 'display_url': 'tinyurl.com/4jwwf3jk'}, {'start': 169, 'end': 192, 'url': 'https://t.co/VEXjtwoAuz', 'expanded_url': 'https://tinyurl.com/4jwwf3jk', 'display_url': 'tinyurl.com/4jwwf3jk'}, {'start': 253, 'end': 276, 'url': 'https://t.co/j3sVli6gqP', 'expanded_url': 'https://twitter.com/Barcelo94984056/status/1521084320974503939/photo/1', 'display_url': 'pic.twitter.com/j3sVli6gqP'}]}",2022-05-02 11:08:57+00:00,1494347387938422786
7,1521084319778975744,"@RhodHyde 🤖 @RhodHyde  robot writing a computer program, painting

@rhodhyde #elbo_ai #ai #not #dalle #digitalart https://t.co/gBizKq26nP","{'mentions': [{'start': 0, 'end': 9, 'username': 'RhodHyde', 'id': '419437464'}, {'start': 12, 'end': 21, 'username': 'RhodHyde', 'id': '419437464'}, {'start': 67, 'end': 76, 'username': 'RhodHyde', 'id': '419437464'}], 'hashtags': [{'start': 77, 'end': 85, 'tag': 'elbo_ai'}, {'start': 86, 'end': 89, 'tag': 'ai'}, {'start': 90, 'end': 94, 'tag': 'not'}, {'start': 95, 'end': 101, 'tag': 'dalle'}, {'start': 102, 'end': 113, 'tag': 'digitalart'}], 'urls': [{'start': 114, 'end': 137, 'url': 'https://t.co/gBizKq26nP', 'expanded_url': 'https://twitter.com/max_elbo/status/1521084319778975744/photo/1', 'display_url': 'pic.twitter.com/gBizKq26nP'}]}",2022-05-02 11:08:56+00:00,1491017231177707523
8,1521084271158460416,"Salford City vs Mansfield Town Live

LIVE STREAM HD #WeAreSalford #Stags 🟡🔵

Computer 💻
https://t.co/46bzFilYMd
https://t.co/46bzFilYMd
Mobile 📱
https://t.co/46bzFilYMd
https://t.co/46bzFilYMd
**
RT Someone Need To This
Follow @ALLSPOR79461730 For More https://t.co/fmk6U4TnaV","{'mentions': [{'start': 227, 'end': 243, 'username': 'ALLSPOR79461730', 'id': '1482977387583537152'}], 'hashtags': [{'start': 52, 'end': 65, 'tag': 'WeAreSalford'}, {'start': 66, 'end': 72, 'tag': 'Stags'}], 'urls': [{'start': 88, 'end': 111, 'url': 'https://t.co/46bzFilYMd', 'expanded_url': 'https://tinyurl.com/4jwwf3jk', 'display_url': 'tinyurl.com/4jwwf3jk'}, {'start': 112, 'end': 135, 'url': 'https://t.co/46bzFilYMd', 'expanded_url': 'https://tinyurl.com/4jwwf3jk', 'display_url': 'tinyurl.com/4jwwf3jk'}, {'start': 145, 'end': 168, 'url': 'https://t.co/46bzFilYMd', 'expanded_url': 'https://tinyurl.com/4jwwf3jk', 'display_url': 'tinyurl.com/4jwwf3jk'}, {'start': 169, 'end': 192, 'url': 'https://t.co/46bzFilYMd', 'expanded_url': 'https://tinyurl.com/4jwwf3jk', 'display_url': 'tinyurl.com/4jwwf3jk'}, {'start': 253, 'end': 276, 'url': 'https://t.co/fmk6U4TnaV', 'expanded_url': 'https://twitter.com/AllFoot78929269/status/1521084271158460416/photo/1', 'display_url': 'pic.twitter.com/fmk6U4TnaV'}]}",2022-05-02 11:08:45+00:00,1499384004201512964
9,1521084216024666112,"Salford City vs Mansfield Town Live

LIVE STREAM HD #WeAreSalford #Stags 🟡🔵

Computer 💻
https://t.co/J8ZCXqg69s
https://t.co/J8ZCXqg69s
Mobile 📱
https://t.co/J8ZCXqg69s
https://t.co/J8ZCXqg69s
**
RT Someone Need To This
Follow @ALLSPOR79461730 For More https://t.co/NOfjmaxA6e","{'mentions': [{'start': 227, 'end': 243, 'username': 'ALLSPOR79461730', 'id': '1482977387583537152'}], 'hashtags': [{'start': 52, 'end': 65, 'tag': 'WeAreSalford'}, {'start': 66, 'end': 72, 'tag': 'Stags'}], 'urls': [{'start': 88, 'end': 111, 'url': 'https://t.co/J8ZCXqg69s', 'expanded_url': 'https://tinyurl.com/4jwwf3jk', 'display_url': 'tinyurl.com/4jwwf3jk'}, {'start': 112, 'end': 135, 'url': 'https://t.co/J8ZCXqg69s', 'expanded_url': 'https://tinyurl.com/4jwwf3jk', 'display_url': 'tinyurl.com/4jwwf3jk'}, {'start': 145, 'end': 168, 'url': 'https://t.co/J8ZCXqg69s', 'expanded_url': 'https://tinyurl.com/4jwwf3jk', 'display_url': 'tinyurl.com/4jwwf3jk'}, {'start': 169, 'end': 192, 'url': 'https://t.co/J8ZCXqg69s', 'expanded_url': 'https://tinyurl.com/4jwwf3jk', 'display_url': 'tinyurl.com/4jwwf3jk'}, {'start': 253, 'end': 276, 'url': 'https://t.co/NOfjmaxA6e', 'expanded_url': 'https://twitter.com/ALLSPOR59192507/status/1521084216024666112/photo/1', 'display_url': 'pic.twitter.com/NOfjmaxA6e'}]}",2022-05-02 11:08:32+00:00,1502919583145279489
