,Unnamed: 0,Tweet ID,Tweet Text,Tweet Entities,Tweet created at,User ID,sentiment
0,0,1522880026550673411,"Programming errors doesn't make you a bad programmer. It's just the computer telling you it doesn't understand. This has to be the most comforting statement
#programming #coding #BlackTechTwitter","{'hashtags': [{'start': 157, 'end': 169, 'tag': 'programming'}, {'start': 170, 'end': 177, 'tag': 'coding'}, {'start': 178, 'end': 195, 'tag': 'BlackTechTwitter'}]}",2022-05-07 10:04:26+00:00,2331206577,-0.09999999999999992
1,1,1522879900327325697,"#AMC $AMC
I can't even use my computer anymore ever since this horrible ""Microsoft Edge Thing"" came along... like it's terrible; I go online i can't tell where my favorites are, I don't even know if i'm on google or MS Edge, or what the hell even happened,","{'cashtags': [{'start': 5, 'end': 9, 'tag': 'AMC'}], 'hashtags': [{'start': 0, 'end': 4, 'tag': 'AMC'}], 'annotations': [{'start': 73, 'end': 86, 'probability': 0.6465, 'type': 'Product', 'normalized_text': 'Microsoft Edge'}]}",2022-05-07 10:03:56+00:00,1365475173139419143,-1.0
2,2,1522879835193987072,"#AI #InternetOfThings #python #tech #CodeNewbie #backend #developer #linux #datascientist #100DaysOfCloud #computer #networkmarketing #html #pythoncode #100DaysOfMLCode #computerscience #ArtificialIntelligence 

Become a web developer

Class reference =&gt; https://t.co/ous1UEIJin","{'urls': [{'start': 258, 'end': 281, 'url': 'https://t.co/ous1UEIJin', 'expanded_url': 'https://skl.sh/2PAsioL', 'display_url': 'skl.sh/2PAsioL'}], 'hashtags': [{'start': 0, 'end': 3, 'tag': 'AI'}, {'start': 4, 'end': 21, 'tag': 'InternetOfThings'}, {'start': 22, 'end': 29, 'tag': 'python'}, {'start': 30, 'end': 35, 'tag': 'tech'}, {'start': 36, 'end': 47, 'tag': 'CodeNewbie'}, {'start': 48, 'end': 56, 'tag': 'backend'}, {'start': 57, 'end': 67, 'tag': 'developer'}, {'start': 68, 'end': 74, 'tag': 'linux'}, {'start': 75, 'end': 89, 'tag': 'datascientist'}, {'start': 90, 'end': 105, 'tag': '100DaysOfCloud'}, {'start': 106, 'end': 115, 'tag': 'computer'}, {'start': 116, 'end': 133, 'tag': 'networkmarketing'}, {'start': 134, 'end': 139, 'tag': 'html'}, {'start': 140, 'end': 151, 'tag': 'pythoncode'}, {'start': 152, 'end': 168, 'tag': '100DaysOfMLCode'}, {'start': 169, 'end': 185, 'tag': 'computerscience'}, {'start': 186, 'end': 209, 'tag': 'ArtificialIntelligence'}]}",2022-05-07 10:03:41+00:00,1248615252201066510,0.0
3,3,1522879435162087425,Need Fast Computer? Dell $Dell Precision T3650 #Desktop Intel $INTC i9 Nvidia $NVDA RTX A5000 1TB SSD 32GB RAM W10P https://t.co/AxbsCFTBDi - Buy on eBay #Computer #ad https://t.co/lsitm5eBYS,"{'cashtags': [{'start': 25, 'end': 30, 'tag': 'Dell'}, {'start': 62, 'end': 67, 'tag': 'INTC'}, {'start': 78, 'end': 83, 'tag': 'NVDA'}], 'urls': [{'start': 116, 'end': 139, 'url': 'https://t.co/AxbsCFTBDi', 'expanded_url': 'https://www.ebay.com/itm/304478075438?hash=item46e44eba2e%3Ag%3AML8AAOSwW0didkAp&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338747434&customid=&toolid=10049&utm_source=dlvr.it&utm_medium=twitter', 'display_url': 'ebay.com/itm/3044780754…'}, {'start': 168, 'end': 191, 'url': 'https://t.co/lsitm5eBYS', 'expanded_url': 'https://twitter.com/Stock_Market_Pr/status/1522879435162087425/photo/1', 'display_url': 'pic.twitter.com/lsitm5eBYS', 'media_key': '3_1522879433916379136'}], 'hashtags': [{'start': 47, 'end': 55, 'tag': 'Desktop'}, {'start': 154, 'end': 163, 'tag': 'Computer'}, {'start': 164, 'end': 167, 'tag': 'ad'}], 'annotations': [{'start': 20, 'end': 114, 'probability': 0.4175, 'type': 'Product', 'normalized_text': 'Dell $Dell Precision T3650 #Desktop Intel $INTC i9 Nvidia $NVDA RTX A5000 1TB SSD 32GB RAM W10P'}]}",2022-05-07 10:02:05+00:00,1089978712685273090,0.2
4,4,1522879427054489600,Need Fast Computer? Adamant Custom #Computer Intel $INTC i9 12900K 3.2Ghz 32Gb 64Gb 128G DDR4 Quadro A4000 https://t.co/ujWcy3HZk8 - Buy on eBay #Computer #ad https://t.co/IHJH4zTGYL,"{'cashtags': [{'start': 51, 'end': 56, 'tag': 'INTC'}], 'urls': [{'start': 107, 'end': 130, 'url': 'https://t.co/ujWcy3HZk8', 'expanded_url': 'https://www.ebay.com/itm/373900868732?hash=item570e3a7c7c%3Ag%3A0h0AAOSwYLNh7uJ-&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338747434&customid=&toolid=10049&utm_source=dlvr.it&utm_medium=twitter', 'display_url': 'ebay.com/itm/3739008687…'}, {'start': 159, 'end': 182, 'url': 'https://t.co/IHJH4zTGYL', 'expanded_url': 'https://twitter.com/Stock_Market_Pr/status/1522879427054489600/photo/1', 'display_url': 'pic.twitter.com/IHJH4zTGYL', 'media_key': '3_1522879425733218306'}], 'hashtags': [{'start': 35, 'end': 44, 'tag': 'Computer'}, {'start': 145, 'end': 154, 'tag': 'Computer'}, {'start': 155, 'end': 158, 'tag': 'ad'}]}",2022-05-07 10:02:03+00:00,1089978712685273090,0.15000000000000002
5,5,1522879371274604547,"#RT MAA_Charity: 💷 A £1 entry to our Lifesaving Lottery scheme entitles you to a unique number. Winning numbers are randomly selected by computer each week.

🚁 Not only will you be supporting our lifesaving cause, you will also have a weekly chance o… https://t.co/5uygXdxCcq","{'urls': [{'start': 252, 'end': 275, 'url': 'https://t.co/5uygXdxCcq', 'expanded_url': 'https://twitter.com/MAA_Charity/status/1522878965077192704/photo/1', 'display_url': 'pic.twitter.com/5uygXdxCcq', 'media_key': '3_1522878963474960384'}], 'hashtags': [{'start': 0, 'end': 3, 'tag': 'RT'}]}",2022-05-07 10:01:50+00:00,192853812,0.125
6,6,1522879252181434369,"Do you prefer hand-drawn #NFTs or computer-designed? 😳
#NFTdrops","{'hashtags': [{'start': 25, 'end': 30, 'tag': 'NFTs'}, {'start': 55, 'end': 64, 'tag': 'NFTdrops'}]}",2022-05-07 10:01:22+00:00,1516218269639880708,0.0
7,7,1522879212616654849,"#nowplaying on All Blues Radio: Too Broke to Spend the Night by Buddy Guy Listen anytime on your computer, tablet or mobile https://t.co/qtmb2SHibX #blues https://t.co/bxIG8si4I1","{'urls': [{'start': 124, 'end': 147, 'url': 'https://t.co/qtmb2SHibX', 'expanded_url': 'http://www.wblu.rocks', 'display_url': 'wblu.rocks', 'status': 200, 'title': 'All Blues Radio', 'description': 'A streaming internet only radio station playing nothing but The Blues', 'unwound_url': 'http://www.wblu.rocks'}, {'start': 155, 'end': 178, 'url': 'https://t.co/bxIG8si4I1', 'expanded_url': 'https://twitter.com/All_Blues_Radio/status/1522879212616654849/photo/1', 'display_url': 'pic.twitter.com/bxIG8si4I1', 'media_key': '3_1522879211173818369'}], 'hashtags': [{'start': 0, 'end': 11, 'tag': 'nowplaying'}, {'start': 148, 'end': 154, 'tag': 'blues'}], 'annotations': [{'start': 15, 'end': 29, 'probability': 0.4925, 'type': 'Organization', 'normalized_text': 'All Blues Radio'}, {'start': 32, 'end': 59, 'probability': 0.8501, 'type': 'Other', 'normalized_text': 'Too Broke to Spend the Night'}]}",2022-05-07 10:01:12+00:00,1029389652950765569,0.0
8,8,1522879201589792768,"Best remote learning MacBook for 2021: MacBook Air vs. MacBook Pro

More Details Here: https://t.co/d0z6HdoMCV

#AMD #Apple #AT #BIGGER #Computer #Intel #IRIS #Laptop #School https://t.co/CUD2XqPrcx","{'urls': [{'start': 87, 'end': 110, 'url': 'https://t.co/d0z6HdoMCV', 'expanded_url': 'https://couponmatrix.uk/l/4wp8', 'display_url': 'couponmatrix.uk/l/4wp8'}, {'start': 175, 'end': 198, 'url': 'https://t.co/CUD2XqPrcx', 'expanded_url': 'https://twitter.com/shopmatrixuk/status/1522879201589792768/photo/1', 'display_url': 'pic.twitter.com/CUD2XqPrcx', 'media_key': '3_1522879200063115266'}], 'hashtags': [{'start': 112, 'end': 116, 'tag': 'AMD'}, {'start': 117, 'end': 123, 'tag': 'Apple'}, {'start': 124, 'end': 127, 'tag': 'AT'}, {'start': 128, 'end': 135, 'tag': 'BIGGER'}, {'start': 136, 'end': 145, 'tag': 'Computer'}, {'start': 146, 'end': 152, 'tag': 'Intel'}, {'start': 153, 'end': 158, 'tag': 'IRIS'}, {'start': 159, 'end': 166, 'tag': 'Laptop'}, {'start': 167, 'end': 174, 'tag': 'School'}], 'annotations': [{'start': 21, 'end': 27, 'probability': 0.8539, 'type': 'Product', 'normalized_text': 'MacBook'}, {'start': 39, 'end': 49, 'probability': 0.9147, 'type': 'Product', 'normalized_text': 'MacBook Air'}, {'start': 55, 'end': 65, 'probability': 0.8454, 'type': 'Product', 'normalized_text': 'MacBook Pro'}]}",2022-05-07 10:01:10+00:00,356034482,0.35
9,9,1522879184749662209,"#nowplaying on AllJazzRadio: A Fine Romance by Louis Armstrong ? Ella Fitzgerald Listen anytime on your computer, tablet or mobile https://t.co/iSzByDCaYH","{'urls': [{'start': 131, 'end': 154, 'url': 'https://t.co/iSzByDCaYH', 'expanded_url': 'http://www.wjzz.rocks', 'display_url': 'wjzz.rocks'}], 'hashtags': [{'start': 0, 'end': 11, 'tag': 'nowplaying'}], 'annotations': [{'start': 15, 'end': 42, 'probability': 0.1902, 'type': 'Other', 'normalized_text': 'AllJazzRadio: A Fine Romance'}, {'start': 47, 'end': 61, 'probability': 0.9805, 'type': 'Person', 'normalized_text': 'Louis Armstrong'}, {'start': 65, 'end': 79, 'probability': 0.8849, 'type': 'Person', 'normalized_text': 'Ella Fitzgerald'}]}",2022-05-07 10:01:06+00:00,1026490600349229058,0.4166666666666667
