,Tweet ID,Tweet text,hashtags,Tweet created at,User ID
0,1529851444140167168,Sure Match: FBC Melgar-Cuiaba - 26.05.2022 Bet on #FBCMELGAR - 1.43  -  AMERICAS  -  #ConmebolCopaSudamericana https://t.co/nbXRRUgZLW MORE SURE MATCHES at https://t.co/K8j8iyKZMl,"FBCMELGAR,ConmebolCopaSudamericana",2022-05-26 15:46:22+00:00,23348385
1,1529851325797777411,"Nayi plug🔌
#BetCoza is Super excited for this year #ChampionsLeagueFinal game happening on Saturday &amp; therefore brings you a UCL competition.Stand a chance to WIN a DSTV Premium for a year🙌
Place a bet of 🤑R100🤑or more to be entered in the competition
https://t.co/CHwPqDxZqK https://t.co/6Jqickm0Jz","BetCoza,ChampionsLeagueFinal",2022-05-26 15:45:53+00:00,317124434
2,1529851191135436801,"Come play with jai my sweet wet friend 😘 💕  
#緊急地震速報 #halalan2022 #eleksyon2022 #Kendrick #switchtoleni #pazartesi #monday #motivation #harden #jiho #jai #jaigaux #trustnoone #FYI #fyp #weed #england #soccer #vacation #diy #oddlysatisfying #germany #game #movie #LUFFY https://t.co/T2ZGGhWQxM","緊急地震速報,halalan2022,eleksyon2022,Kendrick,switchtoleni,pazartesi,monday,motivation,harden,jiho,jai,jaigaux,trustnoone,FYI,fyp,weed,england,soccer,vacation,diy,oddlysatisfying,germany,game,movie,LUFFY",2022-05-26 15:45:21+00:00,1476609104986652680
3,1529851068330680320,"Guys make sure your following @FootballExtra14 for all football news and content. They are lighting fast to all news, 

BIG ANNOUNCEMENT FOR THEM TO BE MADE TOMORROW 12AM AWST......

#Footballnews #TransferNews #football #PremierLeague #LaLiga #podcast #soccer","Footballnews,TransferNews,football,PremierLeague,LaLiga,podcast,soccer",2022-05-26 15:44:52+00:00,1466415909732507661
4,1529851022457376768,"More I watch the video of Duel Soccer, more excited I get for Version 1.🏟️

What about you?😎

Good days coming soon for Duelists!🤺

#DuelNetwork #NFT #P2E https://t.co/kd8b2ifK2a","DuelNetwork,NFT,P2E",2022-05-26 15:44:41+00:00,1413067748347949056
5,1529850802893950979,"Gary Smith had a lot to say about #LouCity last night, who in a lot of ways exemplify just how quickly and deeply soccer has developed in this part of the United States. 
https://t.co/zExAchasIy",LouCity,2022-05-26 15:43:49+00:00,466624357
6,1529850796199751680,"2022 Topps MLS Soccer...

RELEASE DATE: 06/01/22!

3 Relic or Autograph Cards Per Box!

Look for 25 Pitch Prodigies highlighting the top rookies in MLS!

#TheHobby #WhoDoYouCollect #TradingCards #Soccer #MLS #MLSCards #SoccerCards #Topps #ToppsSoccer https://t.co/97XKLgzN2z","TheHobby,WhoDoYouCollect,TradingCards,Soccer,MLS,MLSCards,SoccerCards,Topps,ToppsSoccer",2022-05-26 15:43:47+00:00,1415436743608729600
7,1529850783956512768,"Players call for limit on back-to-back games (BBC Sport)

Players and coaches are calling for a limit to the number of 'back-to-back' games to protect...

Add your highlights:
https://t.co/hLFZsYLbdo
 #FIFA #soccer","FIFA,soccer",2022-05-26 15:43:44+00:00,1043917837436358656
8,1529850755586351105,"The South Hills Catholic Academy Little Kickers soccer program wrapped up yesterday! Thank you so much to Coach Marshall for your time and dedication to our little ones! We are so blessed!

#southcatholic #saintsalive #classicalcurriculum #catholicschools #littlekickers https://t.co/FmZXaBiqjN","southcatholic,saintsalive,classicalcurriculum,catholicschools,littlekickers",2022-05-26 15:43:38+00:00,1270092582601863168
9,1529850711852437508,Are you surprised Canada Soccer cancelled next month’s #CanMNT friendly in Vancouver v Iran?,CanMNT,2022-05-26 15:43:27+00:00,1176555762283405313
10,1529850614120730624,https://t.co/ksrs7ITfCb Ottawa → Canada-Iran soccer friendly at Vancouver's BC Place cancelled https://t.co/UpxaDv7aGM @OttawaNewsPulse 📰 #Ottawa #Canada #news,"Ottawa,Canada,news",2022-05-26 15:43:04+00:00,1495518597426393092
11,1529850121336274945,"Happy #birthday 🎂 @djairdemiranda &amp; once more congratulations 👏 to your @ileagueofficial title with @gokulam_kerala_fc. 

#IndianFootball #DjairGarcia #arunfoot #ILeague #GokulamKeralaFC #football #soccer #brazil #india https://t.co/iTch4ZZD3G","birthday,IndianFootball,DjairGarcia,arunfoot,ILeague,GokulamKeralaFC,football,soccer,brazil,india",2022-05-26 15:41:06+00:00,143245156
12,1529850120988004352,"Kaizer Chiefs: Well-connected journalist lists SEVEN players expected to leave

https://t.co/pwiLzZNcEr #thesouthafrican #pslnews #southafrica #football #soccer

https://t.co/GZD39xB7yG","thesouthafrican,pslnews,southafrica,football,soccer",2022-05-26 15:41:06+00:00,3129315737
13,1529849790871130113,"In May 2017, @CPLsoccer was approved and sanctioned by @CanadaSoccerEN.

Thank you, @CPLCavalryFC and @FCEdmontonNow, for bringing professional soccer back to our beautiful province!⚽️ 

#TBT #ThrowbackThursdays #AlbertaSoccer https://t.co/9Qhh01ahAq","TBT,ThrowbackThursdays,AlbertaSoccer",2022-05-26 15:39:48+00:00,540129136
14,1529849782889586690,"May 26th ⚽️

🇨🇭Super League Switzerland 

Schaffhausen Over 3 (-115) 2U

Was waiting for lineups to confirm for Leg 1. Home team has scored 41 goals in 18 home games. Road has 35 GA on road and is in higher league. 

At min, should see 2-1 I say 2-2.

#GamblingTwitter #soccer","GamblingTwitter,soccer",2022-05-26 15:39:46+00:00,1450626844789809162
15,1529849778103885826,"A scheduled friendly between the #Iran and #Canada national football teams has been cancelled after the match attracted widespread condemnation, particularly from the Association of Families of Flight 752 Victims, who said it was a ""slap in the face.""

https://t.co/T2aZrPUxrU","Iran,Canada",2022-05-26 15:39:44+00:00,1359370076
16,1529849752728354816,Our @TheAthleticSCCR news story on #CanMNT cancelling their friendly against Iran: https://t.co/gWtUjJQ7bk,CanMNT,2022-05-26 15:39:38+00:00,269224287
17,1529849591927029762,"Don’t miss out on spending some good time with real ballers. If u dream to play soccer in a foreign land, grab this opportunity. #CalcioTradeBall2022 https://t.co/fW2AlKD15Q",CalcioTradeBall2022,2022-05-26 15:39:00+00:00,1625585282
18,1529849526709800960,"Highlight 4⃣

One of the bests goals of Gareth Bale on his entire carrer! The story changed after this art work 😍

Any flashback to your mind? 👀⚽️

#UCLfinal #UCL #RealMadrid #Liverpool #Soccer #NFTCommunity #NFTGame #cryptocurrecy https://t.co/JS9IdGD1Mr","UCLfinal,UCL,RealMadrid,Liverpool,Soccer,NFTCommunity,NFTGame,cryptocurrecy",2022-05-26 15:38:45+00:00,59215881
19,1529849330839998464,"Day 5 of programing 👨‍💻:
I made a random soccer⚽ player generator with #javascript still don't know how to add or create #HTML text with javascript so i just used console.log() 🤷
💾#Git #github 
link: https://t.co/tiymwDWDMX

#100daysofcodechallenge #100DaysOfCode #codeHive2022","javascript,HTML,Git,github,100daysofcodechallenge,100DaysOfCode,codeHive2022",2022-05-26 15:37:58+00:00,2250527916
20,1529849327291703296,"#Soccer
#U21 league (Algeria)
RC Relizane U21 - CR Belouizdad U21
#boylesports
info: https://t.co/mrZnliGfxq https://t.co/9juLJTEcdk","Soccer,U21,boylesports",2022-05-26 15:37:57+00:00,1382033346931392515
21,1529849313781854209,"You invest in yourself, in your talent, in your passion for the sport. 

Protect your investment. 
#customfit #protection #sportsguards #shinguards #soccer #sportsequipment #xoarmor #coverone https://t.co/HswEcA176G","customfit,protection,sportsguards,shinguards,soccer,sportsequipment,xoarmor,coverone",2022-05-26 15:37:54+00:00,1218369634027626497
22,1529849229711056896,"Another chance to PREDICT &amp; WIN in the Ghana Beach⛱️ Soccer⚽ FA Cup!

Stay active so you don't miss out😎

#GBSFACup #BeachSoccer #Ghana #TECNOGhana https://t.co/X6TAsbG4rB","GBSFACup,BeachSoccer,Ghana,TECNOGhana",2022-05-26 15:37:34+00:00,1315919108
23,1529849226892656640,"Fight for your Legacy. Fight with your Legacy. 

#nogoalsagainst #ngasoccer #nga #Legacy #soccer #football #FIFA #UEFA #footballplayer #soccerball #footballtime #instafootball #lovefootball #goalkeeper #Portugal #goleiro #goakeepergloves #futebol #gktrai… https://t.co/euwACTkmtk https://t.co/ElAK1HAi2M","nogoalsagainst,ngasoccer,nga,Legacy,soccer,football,FIFA,UEFA,footballplayer,soccerball,footballtime,instafootball,lovefootball,goalkeeper,Portugal,goleiro,goakeepergloves,futebol,gktrai",2022-05-26 15:37:33+00:00,2321101938
24,1529849112639819776,"Cristian Gutierrez’s goal came after Vancouver goalkeeper Cody Cropper had made a diving save to stop a shot from Cavalry’s Ali Musse. #CavalryFC #Whitecaps #yyc #MLS #CPL #Soccer
https://t.co/Z3X9QsqwwQ","CavalryFC,Whitecaps,yyc,MLS,CPL,Soccer",2022-05-26 15:37:06+00:00,221814012
25,1529849089071849474,"🚨 Schedule Announcement 🚨

Mark your calendars for a chance to see the Tribe in 2️⃣0️⃣2️⃣2️⃣. 

➡️ https://t.co/L0y5pMJLp2
🗓 https://t.co/oK8hxLwGiF

#GoTribe https://t.co/F5aGgVAZyu",GoTribe,2022-05-26 15:37:00+00:00,2180634157
26,1529849067907555329,"mormon mom tiktok reddit,The new mom and TikToker has been called ""old-looking"" by many TikTok users. 
#momtiktok 
👇👇
https://t.co/9dEY85z4Io",momtiktok,2022-05-26 15:36:55+00:00,1487682512348459013
27,1529849030775283714,"Starter Women’s Soccer Pants, Exclusive, Black, Small, Black, Size Small jc0Y #eBay🇺🇸 #Women #Clothing #Activewear #Pants https://t.co/yAbImkXC5L","eBay,Women,Clothing,Activewear,Pants",2022-05-26 15:36:46+00:00,1528706020217847810
28,1529849016124571648,"In other soccer news... Serbia u17 making quite the statement so far at #EUROU17 

Leading  Denmark 1-0 at HT in the QF https://t.co/RBvMNhYtE0",EUROU17,2022-05-26 15:36:43+00:00,37359926
29,1529848977717444608,"I love to play soccer but no one likes to play with me 
#USA #NATO https://t.co/8luILWbanf","USA,NATO",2022-05-26 15:36:34+00:00,1514166687880429573
30,1529848902425485313,"The lone Canadian player on the list is Jordyn Huitema at number 17. Not surprising that the majority of the players play in Europe given that most Canadians/Americans still do four years of NCAA soccer before turning pro. What do people think of the list?

#CanWNT #CanXNT https://t.co/IZUTmo3owH","CanWNT,CanXNT",2022-05-26 15:36:16+00:00,1517654237509001216
31,1529848779796520962,Good: Canada cancels June 5 exhibition vs Iran after criticism https://t.co/1UHssICmat #cdnpolitics,cdnpolitics,2022-05-26 15:35:46+00:00,4724003840
32,1529848712872206336,Typically only post soccer but here’s an NBA play I like tonight #PrizePicksNBA #prizepicks #GamblingTwitter https://t.co/4vqiHvC9s1,"PrizePicksNBA,prizepicks,GamblingTwitter",2022-05-26 15:35:31+00:00,3238475442
33,1529848693498728450,The soccer game between Canada and the Islamic republic has been canceled! This is the power of people. Congratulations to all who participated in advocating for what is right. We don’t want terrorists to come to our beloved #Canada ✌️🙌⬇️ https://t.co/VuCeWWjtw8,Canada,2022-05-26 15:35:26+00:00,975007802883280897
34,1529848616998912002,"reddit tiktok drama,The splitting up of Tate and his wife: Because of the controversial nature of her relationship with Brayden Rowley, TikTok celebrity Taylor ...
#TikTok 
👇👇
https://t.co/A3bRB308Qi",TikTok,2022-05-26 15:35:08+00:00,1487682512348459013
35,1529848588867899392,Soccer Super League https://t.co/y7cBQStK0e #soccer #league #Football #33,"soccer,league,Football",2022-05-26 15:35:01+00:00,143350032
36,1529848576217522176,Seattle Reign FC Soccer Nike Stretch Shirt Women’s XL White/blue #eBay🇺🇸 #Women #Activewear #Tops https://t.co/fnpNMH05w3,"eBay,Women,Activewear,Tops",2022-05-26 15:34:58+00:00,1478384513097023495
37,1529848546521907200,"I happy that every country showing their real faces 
#canada a country that is famous for freedom and not evolving politic to any topic 
We know football (soccer) is non political 
#iran #canada match cancelled for some shit political reason. thanks @JustinTrudeau, logical reason","canada,iran,canada",2022-05-26 15:34:51+00:00,1170071965031378945
38,1529848395556323332,"Back in my high school times, I enjoyed playing street soccer more than anything else. The desert boys @sc_kalele  can testify. 

On the 28th, I will be back to where it all started. #Tushume_ba_guy",Tushume_ba_guy,2022-05-26 15:34:15+00:00,1239118280314454016
39,1529848353399644161,"when you play soccer, try not to think in ur head, just move ur body as it will. #soccer",soccer,2022-05-26 15:34:05+00:00,248099435
40,1529848110154907650,#Football Rodman tops list of 21 best women players 21 or under https://t.co/ggBJ1T6DJm https://t.co/2wUh0xaMGX,Football,2022-05-26 15:33:07+00:00,1453309314974818311
41,1529848086272520192,Soccer mom and her boys #GenshinImpact #yelan https://t.co/VyfQBbfOBE,"GenshinImpact,yelan",2022-05-26 15:33:01+00:00,1229781610112798721
42,1529848053590532097,"Thank you @CanadaSoccerEN for standing on right side of history and supporting victims' families.
Viva #Canada! ✌️🇨🇦 #soccer #ps752justice https://t.co/0pLANdSVpe","Canada,soccer,ps752justice",2022-05-26 15:32:53+00:00,1393982149934657538
